d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
1000.0,3.0,1.0,10.0,974.9999999999995,83000.0,2.4375,20.75
1000.0,3.0,1.0,100.0,97500.00000000016,8256000.0,2.4375,2064.0
1000.0,3.0,1.0,500.0,2437500.000000004,208896000.0,2.4375,52224.0
1000.0,3.0,10.0,1.0,41.999999999999964,42000.0,10.5,10.5
1000.0,3.0,10.0,10.0,4200.000000000001,4480000.0,10.5,1120.0
1000.0,3.0,10.0,100.0,420000.0000000002,426624000.0,10.5,106656.0
1000.0,3.0,10.0,500.0,10499999.999999994,11046464000.0,10.5,2761616.0
1000.0,4.0,0.01,1.0,4.695312499999984,4.730224609375,1.173828125,0.0011825561523437
1000.0,4.0,0.01,10.0,469.5312499999988,470.21484375,1.173828125,0.1175537109375
1000.0,4.0,0.01,100.0,46953.124999999935,47500.0,1.173828125,11.875
1000.0,4.0,0.01,500.0,1173828.124999995,1172000.0,1.173828125,293.0
1000.0,4.0,0.1,1.0,4.7109374999999964,4.779815673828125,1.177734375,0.001194953918457
